epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7589,1.0709,3.05699,1.15077,0.00333,1,0.24424,0.16559,0.89973,3.66263,1.00473,0.00048,0.00048,0.00048
2,52.2633,1.0354,1.73184,1.08899,0.00333,1,0.16226,0.07761,1.14304,3.66988,1.29145,0.000970298,0.000970298,0.000970298
3,77.2268,1.10338,1.66891,1.13018,0.39607,0.25,0.24961,0.11296,1.13828,4.16197,1.24828,0.0014507,0.0014507,0.0014507
4,102.392,1.08919,1.50937,1.1294,0.6869,0.75,0.73929,0.45512,1.15675,2.30686,1.24686,0.00192119,0.00192119,0.00192119
5,128.632,1.05499,1.31844,1.10644,0.19448,0.6875,0.1923,0.11799,1.25495,2.95527,1.49152,0.0019208,0.0019208,0.0019208
6,150.915,1.06141,1.25428,1.11328,0.82301,1,0.87571,0.54873,1.25975,1.62057,1.48136,0.001901,0.001901,0.001901
7,162.094,1.06836,1.13709,1.11659,0.77455,0.9375,0.85337,0.46287,1.4507,1.77856,1.61028,0.0018812,0.0018812,0.0018812
8,172.846,1.03389,1.02466,1.09515,0.95278,1,0.995,0.63651,1.18061,1.27228,1.41242,0.0018614,0.0018614,0.0018614
9,183.383,0.96178,0.97949,1.08437,0.8199,1,0.93515,0.58291,1.21294,1.57178,1.37657,0.0018416,0.0018416,0.0018416
10,193.858,0.97797,0.90865,1.10267,0.99227,0.9375,0.9478,0.55578,1.26899,0.99036,1.4226,0.0018218,0.0018218,0.0018218
11,204.529,0.93011,0.86321,1.03982,0.98731,1,0.995,0.66506,1.03759,0.95809,1.27949,0.001802,0.001802,0.001802
12,215.108,0.91282,0.78215,1.03272,0.92417,1,0.99147,0.69833,1.02254,1.27604,1.26729,0.0017822,0.0017822,0.0017822
13,225.648,0.91826,0.76701,1.04418,0.99578,1,0.995,0.68026,1.12379,0.88258,1.29403,0.0017624,0.0017624,0.0017624
14,237.606,0.89785,0.7393,1.06431,0.99937,1,0.995,0.66122,1.13697,0.83216,1.25928,0.0017426,0.0017426,0.0017426
15,250.021,0.90088,0.73031,1.04123,0.99184,0.875,0.95651,0.64145,1.03195,0.86721,1.23674,0.0017228,0.0017228,0.0017228
16,262.053,0.87188,0.72365,1.05304,0.94613,0.9375,0.9734,0.65273,1.31575,1.64834,1.45331,0.001703,0.001703,0.001703
17,273.147,0.88344,0.70388,1.03118,1,0.99222,0.995,0.66235,1.14227,0.68353,1.30268,0.0016832,0.0016832,0.0016832
18,285.699,0.86398,0.66618,1.01547,0.99546,1,0.995,0.68293,1.03939,0.7084,1.2412,0.0016634,0.0016634,0.0016634
19,299.835,0.85708,0.67164,1.02006,0.99241,1,0.995,0.71049,1.04806,0.57348,1.26974,0.0016436,0.0016436,0.0016436
20,311.807,0.85212,0.63895,1.00921,0.94111,0.99887,0.96971,0.5937,1.08114,0.66616,1.31885,0.0016238,0.0016238,0.0016238
21,327.332,0.87841,0.68033,1.0455,0.98997,1,0.995,0.67691,1.05789,0.59584,1.32061,0.001604,0.001604,0.001604
22,338.839,0.84262,0.61773,1.01647,0.99064,1,0.995,0.73021,1.00912,0.65269,1.27283,0.0015842,0.0015842,0.0015842
23,353.754,0.8391,0.63806,1.00625,0.99496,1,0.995,0.65201,1.05209,0.63328,1.28783,0.0015644,0.0015644,0.0015644
24,365.04,0.85075,0.61117,1.03275,0.98918,1,0.995,0.66465,1.07147,0.56674,1.29623,0.0015446,0.0015446,0.0015446
25,375.65,0.84071,0.62845,1.01789,0.97997,0.875,0.95786,0.6346,1.03262,1.83034,1.20859,0.0015248,0.0015248,0.0015248
26,386.349,0.82511,0.61513,1.02898,0.99542,1,0.995,0.67837,1.02894,0.52931,1.24109,0.001505,0.001505,0.001505
27,400.771,0.81081,0.60188,1.00109,0.99625,1,0.995,0.68182,0.99959,0.4969,1.2529,0.0014852,0.0014852,0.0014852
28,414.768,0.84104,0.60134,1.01521,0.99313,1,0.995,0.69857,0.99132,0.52478,1.22694,0.0014654,0.0014654,0.0014654
29,425.519,0.81279,0.56784,0.98804,0.99478,1,0.995,0.66885,1.03829,0.56149,1.28302,0.0014456,0.0014456,0.0014456
30,436.44,0.78069,0.55903,0.99055,0.99565,1,0.995,0.69958,0.98401,0.50702,1.25562,0.0014258,0.0014258,0.0014258
31,447.708,0.72883,0.53538,0.95983,0.99305,1,0.995,0.68439,1.04512,0.54015,1.29732,0.001406,0.001406,0.001406
32,458.817,0.76413,0.56924,0.98571,0.87739,1,0.95333,0.69235,1.06778,0.69667,1.22859,0.0013862,0.0013862,0.0013862
33,469.529,0.77867,0.54265,0.98427,0.99483,1,0.995,0.70882,0.9966,0.52155,1.24681,0.0013664,0.0013664,0.0013664
34,480.367,0.79851,0.58642,0.98031,0.90292,1,0.98441,0.66179,1.03083,0.81341,1.26596,0.0013466,0.0013466,0.0013466
35,490.969,0.7951,0.57624,1.00499,0.99405,1,0.995,0.68394,0.95028,0.46655,1.21122,0.0013268,0.0013268,0.0013268
36,501.695,0.75061,0.52136,0.97538,0.99519,1,0.995,0.6478,1.08019,0.50359,1.29358,0.001307,0.001307,0.001307
37,512.438,0.70355,0.5172,0.94914,0.99293,1,0.995,0.71296,0.96743,0.48662,1.20191,0.0012872,0.0012872,0.0012872
